embedding_model,state,r2_readi,r2_svi,r2_sdi,r2_emb,n_outcomes,n_tracts
OlmoEarth-1.2 Base,ID,0.4301,0.226,0.2597,0.3378,40,439
OlmoEarth-1.2 Base,IL,0.5657,0.2283,0.3883,0.5674,40,3217
OlmoEarth-1.2 Base,IN,0.5509,0.254,0.4172,0.4761,40,1685
OlmoEarth-1.2 Base,KS,0.5474,0.339,0.416,0.5197,40,811
OlmoEarth-1.2 Base,KY,0.7129,0.3098,0.5097,0.4321,5,1213
OlmoEarth-1.2 Base,LA,0.5994,0.2909,0.4153,0.4257,40,1319
OlmoEarth-1.2 Base,MA,0.5576,0.314,0.3845,0.5076,40,1593
OlmoEarth-1.2 Base,MD,0.5178,0.1483,0.3752,0.4766,40,1458
OlmoEarth-1.2 Base,ME,0.4497,0.2253,0.2457,0.4199,40,400
OlmoEarth-1.2 Base,MI,0.5883,0.2879,0.4686,0.5575,40,2844
OlmoEarth-1.2 Base,MN,0.4899,0.2677,0.337,0.3878,40,1499
OlmoEarth-1.2 Base,MO,0.5417,0.2821,0.3755,0.4959,40,1630
OlmoEarth-1.2 Base,MS,0.5911,0.2489,0.4112,0.3339,40,854
OlmoEarth-1.2 Base,MT,0.4015,0.2877,0.2169,0.2445,40,317
OlmoEarth-1.2 Base,NC,0.5556,0.2723,0.3889,0.532,40,2647
OlmoEarth-1.2 Base,ND,0.3112,0.1012,0.1874,0.2581,40,225
OlmoEarth-1.2 Base,NE,0.5141,0.28,0.3525,0.4753,40,550
OlmoEarth-1.2 Base,NH,0.3765,0.1655,0.2032,0.2885,40,347
OlmoEarth-1.2 Base,NJ,0.5592,0.3113,0.4464,0.4982,40,2115
OlmoEarth-1.2 Base,NM,0.5367,0.2556,0.315,0.3893,40,592
OlmoEarth-1.2 Base,NV,0.5259,0.3442,0.4178,0.504,40,765
OlmoEarth-1.2 Base,NY,0.4981,0.2297,0.3856,0.4708,40,5017
OlmoEarth-1.2 Base,OH,0.6149,0.311,0.4689,0.4864,40,3142
OlmoEarth-1.2 Base,OK,0.5611,0.3313,0.3942,0.4453,40,1178
OlmoEarth-1.2 Base,OR,0.433,0.1403,0.1985,0.4619,33,980
OlmoEarth-1.2 Base,PA,0.674,0.3788,0.5089,0.4746,5,3373
OlmoEarth-1.2 Base,RI,0.5149,0.4054,0.3998,0.4659,40,246
OlmoEarth-1.2 Base,SC,0.5598,0.2864,0.3862,0.452,40,1312
OlmoEarth-1.2 Base,SD,0.4072,0.2018,0.2513,0.1858,33,242
OlmoEarth-1.2 Base,TN,0.5447,0.2601,0.3549,0.4943,33,1662
OlmoEarth-1.2 Base,TX,0.5311,0.3171,0.372,0.5337,33,6764
OlmoEarth-1.2 Base,UT,0.372,0.2248,0.2323,0.4247,40,710
OlmoEarth-1.2 Base,VA,0.518,0.1491,0.3296,0.4985,40,2162
OlmoEarth-1.2 Base,VT,0.3399,0.0734,0.0967,0.2377,33,191
OlmoEarth-1.2 Base,WA,0.4587,0.1388,0.2004,0.4928,33,1764
OlmoEarth-1.2 Base,WI,0.5683,0.2824,0.4295,0.4927,40,1472
OlmoEarth-1.2 Base,WV,0.5298,0.1708,0.3076,0.2908,40,545
OlmoEarth-1.2 Base,WY,0.2532,0.1172,0.1125,0.0894,33,146
OlmoEarth-1.2 Nano,AL,0.578,0.2541,0.408,0.3122,40,1411
OlmoEarth-1.2 Nano,AR,0.5308,0.1996,0.3394,0.2985,40,807
OlmoEarth-1.2 Nano,AZ,0.4999,0.3386,0.3682,0.4487,40,1702
OlmoEarth-1.2 Nano,CA,0.5549,0.3427,0.4292,0.4175,40,8818
OlmoEarth-1.2 Nano,CO,0.4363,0.2135,0.2426,0.3649,33,1419
OlmoEarth-1.2 Nano,DC,0.5639,0.3061,0.36,0.3357,40,206
OlmoEarth-1.2 Nano,DE,0.433,0.1668,0.3564,0.3674,40,257
OlmoEarth-1.2 Nano,FL,0.426,0.1989,0.2981,0.4032,33,5075
OlmoEarth-1.2 Nano,GA,0.5473,0.2405,0.3749,0.4229,40,2783
OlmoEarth-1.2 Nano,IA,0.52,0.1924,0.3604,0.2685,40,873
OlmoEarth-1.2 Nano,ID,0.4301,0.226,0.2597,0.2693,40,439
OlmoEarth-1.2 Nano,IL,0.5657,0.2283,0.3883,0.4653,40,3217
OlmoEarth-1.2 Nano,IN,0.5509,0.254,0.4172,0.3787,40,1685
OlmoEarth-1.2 Nano,KS,0.5474,0.339,0.416,0.4082,40,811
OlmoEarth-1.2 Nano,KY,0.7129,0.3098,0.5097,0.3483,5,1213
OlmoEarth-1.2 Nano,LA,0.5994,0.2909,0.4153,0.3045,40,1319
OlmoEarth-1.2 Nano,MA,0.5576,0.314,0.3845,0.4015,40,1593
OlmoEarth-1.2 Nano,MD,0.5178,0.1483,0.3752,0.4122,40,1458
OlmoEarth-1.2 Nano,ME,0.4497,0.2253,0.2457,0.3555,40,400
OlmoEarth-1.2 Nano,MI,0.5883,0.2879,0.4686,0.4611,40,2844
OlmoEarth-1.2 Nano,MN,0.4899,0.2677,0.337,0.3301,40,1499
OlmoEarth-1.2 Nano,MO,0.5417,0.2821,0.3755,0.3792,40,1630
OlmoEarth-1.2 Nano,MS,0.5911,0.2489,0.4112,0.2261,40,854
OlmoEarth-1.2 Nano,MT,0.4015,0.2877,0.2169,0.1675,40,317
OlmoEarth-1.2 Nano,NC,0.5556,0.2723,0.3889,0.4041,40,2647
OlmoEarth-1.2 Nano,ND,0.3112,0.1012,0.1874,0.2239,40,225
OlmoEarth-1.2 Nano,NE,0.5141,0.28,0.3525,0.3102,40,550
OlmoEarth-1.2 Nano,NH,0.3765,0.1655,0.2032,0.2438,40,347
OlmoEarth-1.2 Nano,NJ,0.5592,0.3113,0.4464,0.4065,40,2115
OlmoEarth-1.2 Nano,NM,0.5367,0.2556,0.315,0.3059,40,592
OlmoEarth-1.2 Nano,NV,0.5259,0.3442,0.4178,0.435,40,765
OlmoEarth-1.2 Nano,NY,0.4981,0.2297,0.3856,0.4053,40,5017
OlmoEarth-1.2 Nano,OH,0.6149,0.311,0.4689,0.376,40,3142
OlmoEarth-1.2 Nano,OK,0.5611,0.3313,0.3942,0.3298,40,1178
OlmoEarth-1.2 Nano,OR,0.433,0.1403,0.1985,0.3972,33,980
OlmoEarth-1.2 Nano,PA,0.674,0.3788,0.5089,0.4316,5,3373
OlmoEarth-1.2 Nano,RI,0.5149,0.4054,0.3998,0.399,40,246
OlmoEarth-1.2 Nano,SC,0.5598,0.2864,0.3862,0.3206,40,1312
OlmoEarth-1.2 Nano,SD,0.4072,0.2018,0.2513,0.1489,33,242
OlmoEarth-1.2 Nano,TN,0.5447,0.2601,0.3549,0.3563,33,1662
OlmoEarth-1.2 Nano,TX,0.5311,0.3171,0.372,0.4207,33,6764
OlmoEarth-1.2 Nano,UT,0.372,0.2248,0.2323,0.3499,40,710
OlmoEarth-1.2 Nano,VA,0.518,0.1491,0.3296,0.4274,40,2162
OlmoEarth-1.2 Nano,VT,0.3399,0.0734,0.0967,0.1687,33,191
OlmoEarth-1.2 Nano,WA,0.4587,0.1388,0.2004,0.422,33,1764
OlmoEarth-1.2 Nano,WI,0.5683,0.2824,0.4295,0.415,40,1472
OlmoEarth-1.2 Nano,WV,0.5298,0.1708,0.3076,0.232,40,545
OlmoEarth-1.2 Nano,WY,0.2532,0.1172,0.1125,0.1046,33,146
Prithvi-EO-2.0 300M-TL,AL,0.5742,0.2797,0.4135,0.2574,40,1430
Prithvi-EO-2.0 300M-TL,AR,0.5393,0.2141,0.3118,0.2355,40,718
Prithvi-EO-2.0 300M-TL,AZ,0.4998,0.3213,0.3842,0.3711,40,1738
Prithvi-EO-2.0 300M-TL,CA,0.5114,0.245,0.3361,0.1697,40,3135
Prithvi-EO-2.0 300M-TL,CO,0.4156,0.2385,0.2238,0.2847,33,1431
Prithvi-EO-2.0 300M-TL,DC,0.5986,0.3484,0.4422,0.1775,40,190
Prithvi-EO-2.0 300M-TL,DE,0.4146,0.1706,0.3357,0.287,40,256
Prithvi-EO-2.0 300M-TL,FL,0.4309,0.1968,0.3042,0.231,33,5059
Prithvi-EO-2.0 300M-TL,GA,0.5456,0.235,0.3787,0.3096,40,2780
Prithvi-EO-2.0 300M-TL,IA,0.525,0.1776,0.3384,0.2067,40,894
Prithvi-EO-2.0 300M-TL,ID,0.429,0.2153,0.2663,0.2464,40,449
Prithvi-EO-2.0 300M-TL,IL,0.5649,0.2237,0.3942,0.377,40,3187
Prithvi-EO-2.0 300M-TL,IN,0.5509,0.254,0.4172,0.31,40,1685
Prithvi-EO-2.0 300M-TL,KS,0.5498,0.3345,0.4106,0.3528,40,816
Prithvi-EO-2.0 300M-TL,KY,0.7132,0.3033,0.5218,0.2878,5,1299
Prithvi-EO-2.0 300M-TL,LA,0.6071,0.2845,0.4172,0.2047,40,1365
Prithvi-EO-2.0 300M-TL,MA,0.5656,0.3154,0.3875,0.3279,40,1567
Prithvi-EO-2.0 300M-TL,MD,0.5101,0.1781,0.3862,0.3109,40,1444
Prithvi-EO-2.0 300M-TL,ME,0.4497,0.2253,0.2457,0.3393,40,400
Prithvi-EO-2.0 300M-TL,MI,0.5965,0.285,0.4645,0.3297,40,2900
Prithvi-EO-2.0 300M-TL,MN,0.4833,0.2517,0.3508,0.3164,40,1498
Prithvi-EO-2.0 300M-TL,MO,0.5454,0.2784,0.3717,0.2549,40,1648
Prithvi-EO-2.0 300M-TL,MS,0.5841,0.2384,0.3989,0.1956,40,870
Prithvi-EO-2.0 300M-TL,MT,0.4015,0.2877,0.2169,0.135,40,317
Prithvi-EO-2.0 300M-TL,NC,0.5556,0.2723,0.3889,0.3294,40,2647
Prithvi-EO-2.0 300M-TL,ND,0.3013,0.1555,0.2042,0.1976,40,228
Prithvi-EO-2.0 300M-TL,NE,0.4982,0.3051,0.392,0.2659,40,551
Prithvi-EO-2.0 300M-TL,NH,0.4039,0.2431,0.2558,0.2542,40,346
Prithvi-EO-2.0 300M-TL,NJ,0.5543,0.2915,0.4395,0.3327,40,2135
Prithvi-EO-2.0 300M-TL,NM,0.5377,0.2435,0.3357,0.264,40,602
Prithvi-EO-2.0 300M-TL,NV,0.518,0.3313,0.4191,0.2418,40,766
Prithvi-EO-2.0 300M-TL,NY,0.4916,0.21560000000000001,0.3724,0.2995,40,4685
Prithvi-EO-2.0 300M-TL,OH,0.61240000000000006,0.3049,0.4669,0.3137,40,3154
