embedding_model,index,outcome,outcome_label,r2_index,r2_resid_explained_by_emb,delta_r2,pct_unexplained_var,r2_sequential_combined,n_train,n_test
AlphaEarth Foundations,SDI,CHD,Coronary heart disease,-0.0505,0.2295,0.2411,0.2295,0.1906,55348,21979
AlphaEarth Foundations,SDI,CHECKUP,Annual checkup,-0.1169,0.5217,0.5827,0.5217,0.4658,55348,21979
AlphaEarth Foundations,SDI,CHOLSCREEN,Cholesterol screening,0.4879,0.1374,0.0704,0.1374,0.5583,55348,21979
AlphaEarth Foundations,SDI,COGNITION,Cognitive decline,0.6374,0.0994,0.036,0.0994,0.6734,55348,21979
AlphaEarth Foundations,SDI,COLON_SCREEN,Colorectal cancer screening,0.4155,0.2779,0.1625,0.2779,0.578,60053,21978
AlphaEarth Foundations,SDI,COPD,COPD,-0.0046,0.3467,0.3483,0.3467,0.3437,55348,21979
AlphaEarth Foundations,SDI,CSMOKING,Current smoking,0.2417,0.405,0.3071,0.405,0.5488,55348,21979
AlphaEarth Foundations,SDI,DENTAL,Dental visit,0.5597,0.1852,0.0815,0.1852,0.6412,60055,21979
AlphaEarth Foundations,SDI,DEPRESSION,Depression,-0.1372,0.0973,0.1106,0.0973,-0.0266,55348,21979
AlphaEarth Foundations,SDI,DIABETES,Diabetes,0.1556,0.2717,0.2294,0.2717,0.385,55348,21979
AlphaEarth Foundations,SDI,DISABILITY,Any disability,0.426,0.2389,0.1371,0.2389,0.5631,55348,21979
AlphaEarth Foundations,SDI,EMOTIONSPT,Emotional support,0.4135,-0.0516,0,0,0.4135,40352,18580
AlphaEarth Foundations,SDI,FOODINSECU,Food insecurity,0.7241,-0.0113,0,0,0.7241,40352,18580
AlphaEarth Foundations,SDI,FOODSTAMP,Food stamp use,0.7206,0.0041,0.0011,0.0041,0.7217,40352,18580
AlphaEarth Foundations,SDI,GHLTH,Fair/poor general health,0.5841,0.1723,0.0716,0.1723,0.6557,55348,21979
AlphaEarth Foundations,SDI,HEARING,Hearing disability,-0.0966,-0.0209,0,0,-0.0966,55348,21979
AlphaEarth Foundations,SDI,HIGHCHOL,High cholesterol,-0.0719,0.1141,0.1223,0.1141,0.0504,55348,21979
AlphaEarth Foundations,SDI,HOUSINSECU,Housing insecurity,0.6992,-0.0302,0,0,0.6992,40352,18580
AlphaEarth Foundations,SDI,INDEPLIVE,Independent living difficulty,0.5806,0.2504,0.105,0.2504,0.6856,55348,21979
AlphaEarth Foundations,SDI,LACKTRPT,Lack of transportation,0.7407,0.101,0.0262,0.101,0.7669,40352,18580
AlphaEarth Foundations,SDI,LONELINESS,Loneliness,0.3817,-0.666,0,0,0.3817,40352,18580
AlphaEarth Foundations,SDI,LPA,Physical inactivity,0.4075,0.1845,0.1093,0.1845,0.5168,55348,21979
AlphaEarth Foundations,SDI,MAMMOUSE,Mammography use,0.2031,0.2524,0.2011,0.2524,0.4042,60024,21970
AlphaEarth Foundations,SDI,MHLTH,Poor mental health days,0.5132,0.0314,0.0153,0.0314,0.5285,55348,21979
AlphaEarth Foundations,SDI,MOBILITY,Mobility disability,0.2631,0.2847,0.2098,0.2847,0.4729,55348,21979
AlphaEarth Foundations,SDI,OBESITY,Obesity,-0.0931,0.394,0.4307,0.3941,0.3376,55348,21979
AlphaEarth Foundations,SDI,PHLTH,Poor physical health days,0.3652,0.2546,0.1616,0.2546,0.5268,55348,21979
AlphaEarth Foundations,SDI,SELFCARE,Self-care disability,0.4905,0.2722,0.1387,0.2723,0.6292,55348,21979
AlphaEarth Foundations,SDI,SHUTUTILITY,Utility shutoff,0.5544,0.1181,0.0526,0.1181,0.607,40352,18580
AlphaEarth Foundations,SDI,SLEEP,Short sleep duration,0.2265,0.1409,0.109,0.1409,0.3355,60055,21979
AlphaEarth Foundations,SDI,STROKE,Stroke,0.0743,0.3216,0.2977,0.3216,0.372,55348,21979
AlphaEarth Foundations,SDI,TEETHLOST,Tooth loss,0.4346,0.2876,0.1626,0.2875,0.5972,60030,21971
AlphaEarth Foundations,SDI,VISION,Vision disability,0.6189,0.2048,0.078,0.2048,0.6969,55348,21979
AlphaEarth Foundations,SVI,ACCESS2,Lack of health insurance,0.1631,-0.1104,0,0,0.1631,55348,21979
AlphaEarth Foundations,SVI,ARTHRITIS,Arthritis,0.112,0.211,0.1874,0.211,0.2994,55348,21979
AlphaEarth Foundations,SVI,BINGE,Binge drinking,0.0857,-0.0133,0,0,0.0857,55348,21979
AlphaEarth Foundations,SVI,BPHIGH,High blood pressure,-0.1262,0.3078,0.3467,0.3078,0.2205,55348,21979
AlphaEarth Foundations,SVI,BPMED,BP medication use,-0.0227,0.2592,0.2651,0.2592,0.2424,55348,21979
AlphaEarth Foundations,SVI,CANCER,Cancer (excl. skin),0.3567,0.066,0.0424,0.066,0.3991,55348,21979
AlphaEarth Foundations,SVI,CASTHMA,Current asthma,0.0299,0.1765,0.1712,0.1765,0.2011,55348,21979
AlphaEarth Foundations,SVI,CHD,Coronary heart disease,-0.0389,0.161,0.1673,0.161,0.1284,55348,21979
AlphaEarth Foundations,SVI,CHECKUP,Annual checkup,0.053,0.5334,0.5051,0.5334,0.5581,55348,21979
AlphaEarth Foundations,SVI,CHOLSCREEN,Cholesterol screening,0.2794,0.0812,0.0585,0.0812,0.3379,55348,21979
AlphaEarth Foundations,SVI,COGNITION,Cognitive decline,0.3283,0.1322,0.0888,0.1322,0.4171,55348,21979
AlphaEarth Foundations,SVI,COLON_SCREEN,Colorectal cancer screening,0.5691,0.2208,0.0951,0.2208,0.6642,60053,21978
AlphaEarth Foundations,SVI,COPD,COPD,-0.0548,0.2707,0.2855,0.2707,0.2307,55348,21979
AlphaEarth Foundations,SVI,CSMOKING,Current smoking,5e-4,0.3518,0.3517,0.3518,0.3522,55348,21979
AlphaEarth Foundations,SVI,DENTAL,Dental visit,0.2375,0.1099,0.0838,0.1099,0.3213,60055,21979
AlphaEarth Foundations,SVI,DEPRESSION,Depression,-0.1123,-0.0053,0,0,-0.1123,55348,21979
AlphaEarth Foundations,SVI,DIABETES,Diabetes,0.0409,0.2497,0.2394,0.2496,0.2803,55348,21979
AlphaEarth Foundations,SVI,DISABILITY,Any disability,0.2208,0.168,0.1309,0.168,0.3517,55348,21979
AlphaEarth Foundations,SVI,EMOTIONSPT,Emotional support,0.619,0.1426,0.0543,0.1426,0.6733,40352,18580
AlphaEarth Foundations,SVI,FOODINSECU,Food insecurity,0.4196,-0.1176,0,0,0.4196,40352,18580
AlphaEarth Foundations,SVI,FOODSTAMP,Food stamp use,0.3752,0.0148,0.0093,0.0148,0.3845,40352,18580
AlphaEarth Foundations,SVI,GHLTH,Fair/poor general health,0.4389,0.1917,0.1076,0.1917,0.5465,55348,21979
AlphaEarth Foundations,SVI,HEARING,Hearing disability,-0.0532,-0.1404,0,0,-0.0532,55348,21979
AlphaEarth Foundations,SVI,HIGHCHOL,High cholesterol,-0.0974,0.1547,0.1698,0.1547,0.0724,55348,21979
AlphaEarth Foundations,SVI,HOUSINSECU,Housing insecurity,0.4601,-0.1044,0,0,0.4601,40352,18580
AlphaEarth Foundations,SVI,INDEPLIVE,Independent living difficulty,0.2302,0.1769,0.1361,0.1769,0.3663,55348,21979
AlphaEarth Foundations,SVI,LACKTRPT,Lack of transportation,0.3592,-0.2432,0,0,0.3592,40352,18580
AlphaEarth Foundations,SVI,LONELINESS,Loneliness,0.4037,-0.2441,0,0,0.4037,40352,18580
AlphaEarth Foundations,SVI,LPA,Physical inactivity,0.1985,0.2935,0.2353,0.2936,0.4338,55348,21979
AlphaEarth Foundations,SVI,MAMMOUSE,Mammography use,0.1283,0.2258,0.1968,0.2258,0.3251,60024,21970
AlphaEarth Foundations,SVI,MHLTH,Poor mental health days,0.1649,0.1424,0.1189,0.1424,0.2838,55348,21979
AlphaEarth Foundations,SVI,MOBILITY,Mobility disability,0.1283,0.2064,0.18,0.2064,0.3083,55348,21979
AlphaEarth Foundations,SVI,OBESITY,Obesity,-0.2328,0.3058,0.3769,0.3058,0.1441,55348,21979
AlphaEarth Foundations,SVI,PHLTH,Poor physical health days,0.2162,0.2014,0.1579,0.2014,0.3741,55348,21979
AlphaEarth Foundations,SVI,SELFCARE,Self-care disability,0.2197,0.2214,0.1727,0.2214,0.3924,55348,21979
AlphaEarth Foundations,SVI,SHUTUTILITY,Utility shutoff,0.0608,-0.2716,0,0,0.0608,40352,18580
AlphaEarth Foundations,SVI,SLEEP,Short sleep duration,-0.0361,0.2076,0.2151,0.2076,0.179,60055,21979
AlphaEarth Foundations,SVI,STROKE,Stroke,0.0013,0.2352,0.2349,0.2352,0.2362,55348,21979
AlphaEarth Foundations,SVI,TEETHLOST,Tooth loss,0.0607,0.2115,0.1986,0.2115,0.2593,60030,21971
AlphaEarth Foundations,SVI,VISION,Vision disability,0.361,0.1501,0.0959,0.1501,0.4569,55348,21979
Clay-v1.5,ReADI,ACCESS2,Lack of health insurance,0.5469,0.1829,0.0829,0.1829,0.6298,52755,19512
Clay-v1.5,ReADI,ARTHRITIS,Arthritis,0.0677,0.4623,0.431,0.4623,0.4987,52755,19512
Clay-v1.5,ReADI,BINGE,Binge drinking,0.1359,0.0261,0.0226,0.0261,0.1585,52755,19512
Clay-v1.5,ReADI,BPHIGH,High blood pressure,0.2126,0.3431,0.2701,0.3431,0.4827,52755,19512
Clay-v1.5,ReADI,BPMED,BP medication use,-0.0856,0.3066,0.3329,0.3066,0.2473,52755,19512
Clay-v1.5,ReADI,CANCER,Cancer (excl. skin),0.0701,0.4366,0.406,0.4366,0.4761,52755,19512
Clay-v1.5,ReADI,CASTHMA,Current asthma,0.2653,0.1292,0.095,0.1292,0.3603,52755,19512
Clay-v1.5,ReADI,CHD,Coronary heart disease,0.297,0.315,0.2215,0.315,0.5185,52755,19512
Clay-v1.5,ReADI,CHECKUP,Annual checkup,-0.1624,0.3131,0.364,0.3131,0.2016,52755,19512
Clay-v1.5,ReADI,CHOLSCREEN,Cholesterol screening,0.3432,0.2009,0.132,0.2009,0.4752,52755,19512
Clay-v1.5,ReADI,COGNITION,Cognitive decline,0.7632,-0.2149,0,0,0.7632,52755,19512
Clay-v1.5,ReADI,COLON_SCREEN,Colorectal cancer screening,0.2241,0.1649,0.1279,0.1649,0.352,57340,19511
Clay-v1.5,ReADI,COPD,COPD,0.5169,0.359,0.1735,0.359,0.6904,52755,19512
Clay-v1.5,ReADI,CSMOKING,Current smoking,0.7392,0.1367,0.0357,0.1367,0.7749,52755,19512
Clay-v1.5,ReADI,DENTAL,Dental visit,0.8046,-0.4068,0,0,0.8046,57342,19512
Clay-v1.5,ReADI,DEPRESSION,Depression,-0.1284,-0.3364,0,0,-0.1284,52755,19512
Clay-v1.5,ReADI,DIABETES,Diabetes,0.5584,0.1112,0.0491,0.1112,0.6075,52755,19512
Clay-v1.5,ReADI,DISABILITY,Any disability,0.8088,-0.1819,0,0,0.8088,52755,19512
Clay-v1.5,ReADI,EMOTIONSPT,Emotional support,0.1613,0.1198,0.1005,0.1198,0.2618,38866,16138
Clay-v1.5,ReADI,FOODINSECU,Food insecurity,0.7464,0.2924,0.0742,0.2924,0.8206,38866,16138
Clay-v1.5,ReADI,FOODSTAMP,Food stamp use,0.719,0.1827,0.0514,0.1827,0.7704,38866,16138
Clay-v1.5,ReADI,GHLTH,Fair/poor general health,0.7563,0.0035,8e-4,0.0035,0.7571,52755,19512
Clay-v1.5,ReADI,HEARING,Hearing disability,0.1898,0.2984,0.2418,0.2984,0.4316,52755,19512
Clay-v1.5,ReADI,HIGHCHOL,High cholesterol,-0.0915,0.1659,0.181,0.1659,0.0895,52755,19512
Clay-v1.5,ReADI,HOUSINSECU,Housing insecurity,0.6512,0.3049,0.1063,0.3049,0.7575,38866,16138
Clay-v1.5,ReADI,INDEPLIVE,Independent living difficulty,0.8763,-0.1864,0,0,0.8763,52755,19512
Clay-v1.5,ReADI,LACKTRPT,Lack of transportation,0.7511,0.2879,0.0716,0.2878,0.8227,38866,16138
Clay-v1.5,ReADI,LONELINESS,Loneliness,0.0579,0.1312,0.1236,0.1312,0.1815,38866,16138
Clay-v1.5,ReADI,LPA,Physical inactivity,0.7571,-0.0973,0,0,0.7571,52755,19512
Clay-v1.5,ReADI,MAMMOUSE,Mammography use,0.302,0.102,0.0712,0.102,0.3732,57312,19506
Clay-v1.5,ReADI,MHLTH,Poor mental health days,0.6107,-0.1152,0,0,0.6107,52755,19512
Clay-v1.5,ReADI,MOBILITY,Mobility disability,0.6729,0.0603,0.0197,0.0603,0.6926,52755,19512
Clay-v1.5,ReADI,OBESITY,Obesity,0.4572,0.1312,0.0712,0.1312,0.5284,52755,19512
Clay-v1.5,ReADI,PHLTH,Poor physical health days,0.7463,-0.0274,0,0,0.7463,52755,19512
Clay-v1.5,ReADI,SELFCARE,Self-care disability,0.8057,0.0366,0.0071,0.0366,0.8128,52755,19512
Clay-v1.5,ReADI,SHUTUTILITY,Utility shutoff,0.7877,0.0555,0.0118,0.0555,0.7995,38866,16138
Clay-v1.5,ReADI,SLEEP,Short sleep duration,0.472,-0.1674,0,0,0.472,57342,19512
Clay-v1.5,ReADI,STROKE,Stroke,0.5049,0.2089,0.1034,0.2089,0.6083,52755,19512
Clay-v1.5,ReADI,TEETHLOST,Tooth loss,0.8256,0.043,0.0075,0.043,0.8331,57320,19506
Clay-v1.5,ReADI,VISION,Vision disability,0.809,0.1908,0.0364,0.1908,0.8454,52755,19512
Clay-v1.5,SDI,ACCESS2,Lack of health insurance,0.4162,0.1133,0.0661,0.1133,0.4823,52755,19512
Clay-v1.5,SDI,ARTHRITIS,Arthritis,-0.0119,0.3521,0.3563,0.3521,0.3444,52755,19512
Clay-v1.5,SDI,BINGE,Binge drinking,0.0392,0.0805,0.0773,0.0805,0.1165,52755,19512
Clay-v1.5,SDI,BPHIGH,High blood pressure,-0.1337,0.3267,0.3704,0.3267,0.2367,52755,19512
Clay-v1.5,SDI,BPMED,BP medication use,0.0093,0.2166,0.2146,0.2166,0.2239,52755,19512
Clay-v1.5,SDI,CANCER,Cancer (excl. skin),0.3361,0.2779,0.1845,0.2779,0.5206,52755,19512
Clay-v1.5,SDI,CASTHMA,Current asthma,0.0571,0.2022,0.1907,0.2022,0.2478,52755,19512
Clay-v1.5,SDI,CHD,Coronary heart disease,-0.0293,0.3116,0.3207,0.3116,0.2914,52755,19512
Clay-v1.5,SDI,CHECKUP,Annual checkup,-0.0672,0.2505,0.2674,0.2505,0.2002,52755,19512
Clay-v1.5,SDI,CHOLSCREEN,Cholesterol screening,0.4738,0.0857,0.0451,0.0857,0.5189,52755,19512
Clay-v1.5,SDI,COGNITION,Cognitive decline,0.6293,0.1849,0.0686,0.1849,0.6979,52755,19512
Clay-v1.5,SDI,COLON_SCREEN,Colorectal cancer screening,0.4273,0.0998,0.0572,0.0998,0.4845,57340,19511
Clay-v1.5,SDI,COPD,COPD,0.0316,0.3725,0.3607,0.3725,0.3923,52755,19512
Clay-v1.5,SDI,CSMOKING,Current smoking,0.2552,0.3301,0.2459,0.3301,0.5011,52755,19512
Clay-v1.5,SDI,DENTAL,Dental visit,0.5494,0.0393,0.0177,0.0393,0.5671,57342,19512
Clay-v1.5,SDI,DEPRESSION,Depression,-0.1584,-0.2157,0,0,-0.1584,52755,19512
Clay-v1.5,SDI,DIABETES,Diabetes,0.1765,0.2609,0.2148,0.2609,0.3913,52755,19512
Clay-v1.5,SDI,DISABILITY,Any disability,0.4215,0.3218,0.1862,0.3218,0.6077,52755,19512
Clay-v1.5,SDI,EMOTIONSPT,Emotional support,0.4403,-0.0048,0,0,0.4403,38866,16138
Clay-v1.5,SDI,FOODINSECU,Food insecurity,0.7234,0.221,0.0611,0.221,0.7845,38866,16138
Clay-v1.5,SDI,FOODSTAMP,Food stamp use,0.7224,0.1256,0.0349,0.1256,0.7573,38866,16138
Clay-v1.5,SDI,GHLTH,Fair/poor general health,0.5783,0.2749,0.1159,0.2749,0.6942,52755,19512
Clay-v1.5,SDI,HEARING,Hearing disability,-0.0703,0.2594,0.2776,0.2594,0.2073,52755,19512
Clay-v1.5,SDI,HIGHCHOL,High cholesterol,-0.0522,0.0875,0.092,0.0875,0.0398,52755,19512
Clay-v1.5,SDI,HOUSINSECU,Housing insecurity,0.7035,0.2131,0.0632,0.2131,0.7667,38866,16138
Clay-v1.5,SDI,INDEPLIVE,Independent living difficulty,0.5766,0.2868,0.1214,0.2867,0.698,52755,19512
Clay-v1.5,SDI,LACKTRPT,Lack of transportation,0.7405,0.163,0.0423,0.163,0.7828,38866,16138
Clay-v1.5,SDI,LONELINESS,Loneliness,0.3967,-0.0623,0,0,0.3967,38866,16138
Clay-v1.5,SDI,LPA,Physical inactivity,0.4084,0.1966,0.1163,0.1966,0.5247,52755,19512
Clay-v1.5,SDI,MAMMOUSE,Mammography use,0.1816,0.1591,0.1302,0.1592,0.3118,57312,19506
Clay-v1.5,SDI,MHLTH,Poor mental health days,0.5065,0.1159,0.0572,0.1159,0.5637,52755,19512
Clay-v1.5,SDI,MOBILITY,Mobility disability,0.2628,0.3172,0.2339,0.3172,0.4967,52755,19512
Clay-v1.5,SDI,OBESITY,Obesity,-0.069,0.178,0.1903,0.178,0.1213,52755,19512
Clay-v1.5,SDI,PHLTH,Poor physical health days,0.3555,0.2961,0.1908,0.296,0.5463,52755,19512
Clay-v1.5,SDI,SELFCARE,Self-care disability,0.4869,0.2798,0.1436,0.2798,0.6305,52755,19512
Clay-v1.5,SDI,SHUTUTILITY,Utility shutoff,0.5541,0.1179,0.0526,0.1179,0.6067,38866,16138
Clay-v1.5,SDI,SLEEP,Short sleep duration,0.2159,-0.0831,0,0,0.2159,57342,19512
Clay-v1.5,SDI,STROKE,Stroke,0.0999,0.2925,0.2633,0.2925,0.3632,52755,19512
Clay-v1.5,SDI,TEETHLOST,Tooth loss,0.4366,0.2672,0.1506,0.2673,0.5872,57320,19506
Clay-v1.5,SDI,VISION,Vision disability,0.6141,0.2566,0.099,0.2566,0.7131,52755,19512
Clay-v1.5,SVI,ACCESS2,Lack of health insurance,0.1838,-0.2297,0,0,0.1838,52755,19512
Clay-v1.5,SVI,ARTHRITIS,Arthritis,0.1295,0.3024,0.2632,0.3024,0.3927,52755,19512
Clay-v1.5,SVI,BINGE,Binge drinking,0.092,0.0269,0.0244,0.0269,0.1164,52755,19512
Clay-v1.5,SVI,BPHIGH,High blood pressure,-0.0729,0.2361,0.2533,0.2361,0.1804,52755,19512
Clay-v1.5,SVI,BPMED,BP medication use,0.0086,0.2341,0.2321,0.2341,0.2407,52755,19512
Clay-v1.5,SVI,CANCER,Cancer (excl. skin),0.3507,0.2449,0.159,0.2449,0.5097,52755,19512
Clay-v1.5,SVI,CASTHMA,Current asthma,0.0411,0.0928,0.089,0.0928,0.1301,52755,19512
Clay-v1.5,SVI,CHD,Coronary heart disease,-0.0127,0.2512,0.2544,0.2512,0.2417,52755,19512
Clay-v1.5,SVI,CHECKUP,Annual checkup,0.0829,0.1982,0.1818,0.1982,0.2647,52755,19512
Clay-v1.5,SVI,CHOLSCREEN,Cholesterol screening,0.2602,0.1135,0.084,0.1135,0.3442,52755,19512
Clay-v1.5,SVI,COGNITION,Cognitive decline,0.3166,0.1259,0.086,0.1259,0.4026,52755,19512
Clay-v1.5,SVI,COLON_SCREEN,Colorectal cancer screening,0.5632,0.146,0.0638,0.146,0.627,57340,19511
Clay-v1.5,SVI,COPD,COPD,-0.0085,0.2366,0.2386,0.2366,0.2301,52755,19512
Clay-v1.5,SVI,CSMOKING,Current smoking,0.0368,0.17,0.1638,0.17,0.2006,52755,19512
Clay-v1.5,SVI,DENTAL,Dental visit,0.238,-0.2468,0,0,0.238,57342,19512
Clay-v1.5,SVI,DEPRESSION,Depression,-0.1205,-0.384,0,0,-0.1205,52755,19512
Clay-v1.5,SVI,DIABETES,Diabetes,0.0802,0.1708,0.1571,0.1708,0.2373,52755,19512
Clay-v1.5,SVI,DISABILITY,Any disability,0.2226,0.184,0.1431,0.1841,0.3657,52755,19512
Clay-v1.5,SVI,EMOTIONSPT,Emotional support,0.6176,0.0317,0.0121,0.0317,0.6297,38866,16138
Clay-v1.5,SVI,FOODINSECU,Food insecurity,0.4122,-0.0337,0,0,0.4122,38866,16138
Clay-v1.5,SVI,FOODSTAMP,Food stamp use,0.3738,0.0696,0.0436,0.0696,0.4174,38866,16138
Clay-v1.5,SVI,GHLTH,Fair/poor general health,0.4242,0.1669,0.0961,0.1669,0.5203,52755,19512
Clay-v1.5,SVI,HEARING,Hearing disability,-0.0271,0.2356,0.2419,0.2356,0.2148,52755,19512
Clay-v1.5,SVI,HIGHCHOL,High cholesterol,-0.0844,0.1206,0.1307,0.1205,0.0463,52755,19512
Clay-v1.5,SVI,HOUSINSECU,Housing insecurity,0.4436,-0.0554,0,0,0.4436,38866,16138
Clay-v1.5,SVI,INDEPLIVE,Independent living difficulty,0.2344,0.11,0.0842,0.11,0.3186,52755,19512
Clay-v1.5,SVI,LACKTRPT,Lack of transportation,0.3547,-0.0097,0,0,0.3547,38866,16138
Clay-v1.5,SVI,LONELINESS,Loneliness,0.4017,0.0889,0.0532,0.0889,0.4549,38866,16138
Clay-v1.5,SVI,LPA,Physical inactivity,0.2142,0.0469,0.0369,0.0469,0.2511,52755,19512
Clay-v1.5,SVI,MAMMOUSE,Mammography use,0.1191,0.1281,0.1128,0.128,0.2319,57312,19506
Clay-v1.5,SVI,MHLTH,Poor mental health days,0.1608,0.1364,0.1145,0.1364,0.2753,52755,19512
Clay-v1.5,SVI,MOBILITY,Mobility disability,0.1375,0.1936,0.167,0.1937,0.3045,52755,19512
Clay-v1.5,SVI,OBESITY,Obesity,-0.1805,8e-4,0.001,8e-4,-0.1795,52755,19512
Clay-v1.5,SVI,PHLTH,Poor physical health days,0.212,0.1781,0.1404,0.1781,0.3524,52755,19512
Clay-v1.5,SVI,SELFCARE,Self-care disability,0.2263,0.1046,0.0809,0.1046,0.3072,52755,19512
